,0,1,2
12,@CarymaRules,2024-03-30T20:54:04.000Z,"Two sets of protesters take to the streets at Yonge and Dundas.

Queen’s Park Regulars were vastly outnumbered by pro-Palestine supporters, and ultimately had to detour their usual parade route. 

#cdnpoli #Toronto #Palestine #Israel #Gaza #ProtestMania"
13,@aminseif89,2024-03-30T13:53:23.000Z,"A terrorist Zionist from #israel, feeling happy about dead civilians. #palestine will be free and we will sing on Zionists graves."
14,@xinfolive,2024-03-30T20:30:18.000Z," An hour ago, Israeli warplanes heavily bombarded areas of the city of Khan Yunis, located in the south of the Gaza Strip
#Israël #Hamas #Palestine #Gaza #OTAN #Occident #GazaGénocide #USA #Europe #Yemen #Houthis"
15,@Africa_First1,2024-03-30T19:29:01.000Z,"The fake democracy of #USA.
#Israel
#Palestine
#GazaHoloucast"
16,@lilbigwitch,2024-03-30T20:23:03.000Z,"#HOUTHIS put MARITIME EMBARGO TO SANCTION #ZIONIST #ISRAEL FOR #GENOCIDE OF #PALESTINIAN PPL IN #GAZA

NOBODY DIED until 
@JoeBiden
 ILLEGALLY ATTACKED #YEMEN

BILLIONS OF TAXPAYER $ WASTED & DEATH TO FACILITATE SLAUGHTER IN #PALESTINE

#REMEMBERINNOVEMBER"
17,@Mariam23746326,2024-03-30T12:52:17.000Z,"Imagine singing a lullaby to dead bodies.
Only the IOF.
God is watching
#PALESTINE #IOF #israel #crime #USA"
18,@Bridgettekw,2024-03-30T20:20:24.000Z,"Palestine Protestors on bikes in Oakland, CA. #Oakland #rockridge #HappeningNow #TrendingNow #breakingnews #TwitterX #Palestine #Israel #war #socialmedia 
@Bridgettekw"
19,@siaartw,2024-03-30T20:19:24.000Z,"All those who complained about Palestinians blocking streets are silent about Israelis blocking streets. From Democracy to Zionism, What level of hypocrisy is this?

#Democracy #zionism #Israel #telaviv #Palestine"
,0,1,2
0,@quds_feed,2024-03-30T21:33:30.000Z," A large presence of the Iraqi masses in Tahrir Square in the capital, Baghdad, in support of the Palestinian people and the resistance in Gaza.

#غزة #فلسطين #غزة_تحت_القصف #طوفان_الأقصى
#Gaza #GazaUnderAttack #Palestine #Photography #News #Israel #Occupation

https://chat.whatsapp.com/IUyQ6UDOxGz8g6R9hsMyXJ…"
1,@KokabelM,2024-03-30T20:44:06.000Z,"Children are starving in Sudan too!
#gaza #rsf #palestine  #israel #unrwa 
#KeepEyesOnSudan"
2,@BeatriceStrouf,2024-03-30T20:59:15.000Z,#Fondamental #Sionisme #PeupleAutochtone #IndigèneDuSionisme #Judaïsme #Israël #Palestine
3,@Idontcare3232,2024-03-30T21:31:26.000Z,"#Israel #Gaza #Gazze #Filistin #Palestine #Hamas #gazaunderattack #ceasefire #Trending #FreePalestine #Palestina #USA #MedioOriente #PalestinaLibre
Dear Hamas. We're almost halfway through the deck."
4,@domipre2016,2024-03-30T17:04:10.000Z,"But let them chase him away, this thug from #Netanyahou ! #israel #gaza #palestine #bfmtv #lci #cnews #lcp #franceinfo #franceinter"
5,@sloughpsc,2024-03-30T21:30:07.000Z,"London March for #Palestine today. The scroll goes on and on with the names of 33,000 martyrs murdered by #Israel in their #genocide of #Gaza"
6,@BasseCourFr,2024-03-30T21:29:30.000Z,"""Israel maintains pressure on Gaza as deaths linked to aid distributions increase. #Gaza #Israël #Palestine """
7,@BlueMemey,2024-03-30T21:29:29.000Z,Think about it. #pallywood #palestine #gaza #israel #idf #warcrimes
8,@war_noir,2024-03-30T21:29:21.000Z,"#Palestine / #Israel : ""Al-Aqsa Martyrs Brigades"" and ""Al-Quds Brigades"" carried out a joint attack on #IDF Troops in the vicinity of Al-Shifa Hospital in #Gaza.

The groups used a covert possible 60mm #Iran-made  DIO HM-14 mortar with M61 HE (High-explosive) mortar bombs."
9,@AmynDyayy91057,2024-03-30T21:26:17.000Z,#gaze #gaza #palestine #israel #sahyonism   #zionism #america #truth
10,@aliaskhalid,2024-03-30T21:25:19.000Z,“Hell is empty all the demons are here” Shakespear #GazaFamine #Gaza #Tsahal #Israel #Palestine
11,@JudithKlinger1,2024-03-30T18:58:00.000Z,"My respect to the upstanding citizens in #Israel who are relentlessly taking to the streets and protesting because they are fed up with #Netanjahu and the other right-wing extremist criminals who are hiding behind the government bench.

#Gaza #Palestine"
12,@WHUFCIrons4life,2024-03-30T21:23:49.000Z,"These Muslims, champagne socialist leftists, crusties, and ⁦
@jeremycorbyn
⁩ fanatics attacked police for arresting a TERROR suspect today in London. Think about that for a moment. #London #Hamas #Gaza #Palestine #Labour #Israel."
13,@MakeItAsOne,2024-03-30T17:46:46.000Z,"Some still #deny the #genocide in #Palestine...

This is what #zionism (#Israel/ #USA and #Europe) is doing to #Palestinian #children.

This is what #presidents like #Milei support.

#IsraelIsATerroristState 
#StopTheGenocide
#DismantleIsrael
#FreePalestine"
14,@paran_tweets,2024-03-30T21:21:25.000Z,"Can you show me an official document showing the land belonged to the palestinians please?
Thank you.
Oh and please explain who were the hebrew people living here for thousands of years.
Thanks again
#gaza #usa #israel #russia #ukraine #palestine #hamas #FreePalesine"
15,@InfosMinutesFR,2024-03-30T21:21:01.000Z,  : Several thousand demonstrators in Tel Aviv against Netanyahu and an agreement with Hamas for the release of hostages. #Israel #Palestine #Gaza
16,@Tercron,2024-03-30T05:28:13.000Z,#Palestine #Israel
17,@ssaqalabbas,2024-03-30T16:59:47.000Z,"What #Israel is doing in #Palestine isn't a matter of religion anymore; it's a matter of humanity. Injustice anywhere is a threat to justice everywhere.
Britain, like any true democratic country, cannot stay indifferent to crimes against humanity by #Israel.
#PalestineLivesMatter"
18,@RNas71,2024-03-30T21:01:56.000Z,"Turkey has been selling Tel Aviv the boots the IDF tramples all over the Palestinian people with, for decades now. #israel #Gaza #Palestine"
19,@MirelaMonte,2024-03-29T13:16:38.000Z,"This cult is sick.

#WakeUpWorld #WakeUp 
#Israel #Gaza #Palestine #RedHeifer #prophecy #EndOfTimes #Armageddon"
,0,1,2
0,@quds_feed,2024-03-30T21:34:21.000Z," Urgent | Occupation aircraft targeted the vicinity of Kuwait Roundabout, southeast of Gaza City.

#غزة #فلسطين #غزة_تحت_القصف #طوفان_الأقصى
#Gaza #GazaUnderAttack #Palestine #Photography #News #Israel #Occupation"
1,@KokabelM,2024-03-30T20:44:06.000Z,"Children are starving in Sudan too!
#gaza #rsf #palestine  #israel #unrwa 
#KeepEyesOnSudan"
2,@BeatriceStrouf,2024-03-30T20:59:15.000Z,#Fondamental #Sionisme #PeupleAutochtone #IndigèneDuSionisme #Judaïsme #Israël #Palestine
3,@Idontcare3232,2024-03-30T21:31:26.000Z,"#Israel #Gaza #Gazze #Filistin #Palestine #Hamas #gazaunderattack #ceasefire #Trending #FreePalestine #Palestina #USA #MedioOriente #PalestinaLibre
Dear Hamas. We're almost halfway through the deck."
4,@domipre2016,2024-03-30T17:04:10.000Z,"But let them chase him away, this thug from #Netanyahou ! #israel #gaza #palestine #bfmtv #lci #cnews #lcp #franceinfo #franceinter"
5,@sloughpsc,2024-03-30T21:30:07.000Z,"London March for #Palestine today. The scroll goes on and on with the names of 33,000 martyrs murdered by #Israel in their #genocide of #Gaza"
6,@BasseCourFr,2024-03-30T21:29:30.000Z,"""Israel maintains pressure on Gaza as deaths linked to aid distributions increase. #Gaza #Israël #Palestine """
7,@BlueMemey,2024-03-30T21:29:29.000Z,Think about it. #pallywood #palestine #gaza #israel #idf #warcrimes
8,@war_noir,2024-03-30T21:29:21.000Z,"#Palestine / #Israel : ""Al-Aqsa Martyrs Brigades"" and ""Al-Quds Brigades"" carried out a joint attack on #IDF Troops in the vicinity of Al-Shifa Hospital in #Gaza.

The groups used a covert possible 60mm #Iran-made  DIO HM-14 mortar with M61 HE (High-explosive) mortar bombs."
9,@AmynDyayy91057,2024-03-30T21:26:17.000Z,#gaze #gaza #palestine #israel #sahyonism   #zionism #america #truth
10,@aliaskhalid,2024-03-30T21:25:19.000Z,“Hell is empty all the demons are here” Shakespear #GazaFamine #Gaza #Tsahal #Israel #Palestine
11,@JudithKlinger1,2024-03-30T18:58:00.000Z,"My respect to the upstanding citizens in #Israel who are relentlessly taking to the streets and protesting because they are fed up with #Netanjahu and the other right-wing extremist criminals who are hiding behind the government bench.

#Gaza #Palestine"
12,@WHUFCIrons4life,2024-03-30T21:23:49.000Z,"These Muslims, champagne socialist leftists, crusties, and ⁦
@jeremycorbyn
⁩ fanatics attacked police for arresting a TERROR suspect today in London. Think about that for a moment. #London #Hamas #Gaza #Palestine #Labour #Israel."
13,@MakeItAsOne,2024-03-30T17:46:46.000Z,"Some still #deny the #genocide in #Palestine...

This is what #zionism (#Israel/ #USA and #Europe) is doing to #Palestinian #children.

This is what #presidents like #Milei support.

#IsraelIsATerroristState 
#StopTheGenocide
#DismantleIsrael
#FreePalestine"
14,@paran_tweets,2024-03-30T21:21:25.000Z,"Can you show me an official document showing the land belonged to the palestinians please?
Thank you.
Oh and please explain who were the hebrew people living here for thousands of years.
Thanks again
#gaza #usa #israel #russia #ukraine #palestine #hamas #FreePalesine"
15,@InfosMinutesFR,2024-03-30T21:21:01.000Z,  : Several thousand demonstrators in Tel Aviv against Netanyahu and an agreement with Hamas for the release of hostages. #Israel #Palestine #Gaza
16,@Tercron,2024-03-30T05:28:13.000Z,#Palestine #Israel
17,@ssaqalabbas,2024-03-30T16:59:47.000Z,"What #Israel is doing in #Palestine isn't a matter of religion anymore; it's a matter of humanity. Injustice anywhere is a threat to justice everywhere.
Britain, like any true democratic country, cannot stay indifferent to crimes against humanity by #Israel.
#PalestineLivesMatter"
18,@RNas71,2024-03-30T21:01:56.000Z,"Turkey has been selling Tel Aviv the boots the IDF tramples all over the Palestinian people with, for decades now. #israel #Gaza #Palestine"
19,@MirelaMonte,2024-03-29T13:16:38.000Z,"This cult is sick.

#WakeUpWorld #WakeUp 
#Israel #Gaza #Palestine #RedHeifer #prophecy #EndOfTimes #Armageddon"
