,0,1,2
65,@WalidAl_Tamimi,2024-03-30T14:35:34.000Z,"Imagine all uprise against #Israel which this will happen if problem in #Palestine persisted billions of free world people will soon start crawls to help #Palestinians .... You see if far away in fact no one predict, when!!!!"
66,@Tanya_Sekhri,2024-03-30T14:31:01.000Z,#Indian #Politics #India  #Palestine #Israel #Gazawar
67,@Protestda,2024-03-30T14:24:10.000Z,"An Israeli soldier sings a ""happy song"" as she watches a bulldozer collect the bodies of slain Gazans.

#Израиль #Палестина #Газа #Israel #Palestine #Gaza #IDFTerroristArmy"
68,@LensVeritatis,2024-03-30T13:38:53.000Z,This is just one of several #ICJ judges that have formally declared very strong statements against #Israel. Leaders that continue to support Israel must act now or face the real prospect of themselves being in the dock. #Gaza #Palestine #GazaFamine
69,@Tercron,2024-03-29T23:00:00.000Z,#Gaza #Palestine #Hamas #Israel #Jews
70,@AndersonEiman,2024-03-30T14:20:30.000Z,"ISRAEL is a THIEVING country!!!!!

It’s LAND DAY!  Commemorating the THIEVERY of Palestinian Lands by ISRAEL!

It CONTINUES till today!

#IsraeliTerrorists 
#IsraeliNazis 
#Palestine 
#israel 
#BoycottIsrael 
#SanctionIsraelNow 
#criminals"
71,@NathanHacham,2024-03-29T21:29:49.000Z,"@mhdksafa
 Judea wasn’t even called Palaestina yet in the time of Jesus! 
Get educated !!! 

And stop hijacking’s other people’s religion, history,… it’s not the next hashtag on X. 

#Israel #Judea not #Palestine"
72,@Ulfh3dnar_,2024-03-30T14:15:59.000Z,"The IDF and Shin Bet reported the elimination by Israeli soldiers in recent days at Shifa Hospital in Gaza City of high-ranking Hamas operatives.

#Israel #Palestine #Gaza"
73,@RNas71,2024-03-30T12:03:08.000Z,"If I had kids I would have taught them to go after thieves and colonizers to. For those are the enemy of all freedom loving folks.

Btw, these kids are talking about Israeli, not 'the Jews'. 

Guess that's why the volume was turned down.
#zionism #nazism #israel #Gaza #Palestine"
74,@LotusFlowerHAMA,2024-03-25T22:56:51.000Z,"I will give you free start, if you want you can do your own research
Balfour declaration 1917,british mandate 1920 to establish nazi zionism in #Palestine
Who are those terrorists groups in #Palestine even before 1948
Why and how they established nazi #Israel in 1948 "
75,@Spart303Mot,2024-03-30T14:04:33.000Z,"London pro Palestine March Saturday 30/03/24 

Pro Hamas supporter openly chanting arrested..
Name and shame this scum 

#Israel #Palestine #London #March"
76,@Marya_mj11,2024-03-28T20:28:50.000Z,"Too many children are facing malnutrition...several DIED FROM IT ALREADY ..and their fault is just being born in their land..
#Gaza #CeasefireNOW #FreePalestine #Palestine #Israel #IsraeliNazis #StopTheGenocideInGaza"
77,@GeneticLiberal,2024-03-30T13:54:42.000Z,"#IsraelLies About Being A Victim So That It Can Victimize (by #CaitlinJohnstone)

>https://soundcloud.com/going_rogue/israel-lies-about-being-a-victim-so-that-it-can-victimize?utm_source=Twitter&utm_campaign=social_sharing&utm_medium=widget&utm_content=https%3A//soundcloud.com/going_rogue/israel-lies-about-being-a-victim-so-that-it-can-victimize…

#Gaza #Palestine #Potus #Genocide .
@Maddow
 @SenSchumer
 @JoJoFromJerz
 @MalcolmNance
 #Israel 
@StephMillerShow"
78,@kanafani,2024-03-30T13:25:49.000Z,"I agree with this but at the same time, keep in mind that the West has always been good at seeing any action by the Arab world in support of #Palestine as anti-#Israel belligerence and fundamentally #antisemitic"
79,@DocTK28,2024-03-30T13:57:36.000Z,"Did you know about the collaboration between the #Zionists and the #Nazis to take over #Palestine?  Have a look.

https://instagram.com/reel/C5IsBcor7iM/?igsh=MXU5YW9saWJiNmY4dw%3D%3D…

Julian Assange #ToryCorruption Andrew Neil #Lebanon #Hezbollah #Gazaholocaust #GazaGenocide #FreePalestine  #Israel"
80,@care_crisis,2024-03-30T13:57:21.000Z,"#Mossad
“Suspected Israeli hitman caught in #Malaysia.”
#ישראל/#פלסטין/#עזה
#Palestine/#Gaza/#Israel"
81,@FPPro44,2024-03-30T13:56:05.000Z,"This Zionist was sharing a post about him being smart in Starbucks that he told the batista that his name is "" Yam yisrael whatsover "" which mean "" long live isrselis "" he couldn't stand the realities , so he blocked me

#Israel
#gaza
#palestine
#HOPE_ON_THE_STREET 
#DALS 
#lufc"
